__id__,AX1,AY1,AZ1,GX1,GY1,GZ1,labels
1:56:16,0.01,7.3,6.8,-0.07,0.06,-0.02,
1:56:17,-0.01,7.27,6.94,-0.08,0.05,-0.01,
1:56:18,0.26,7.24,6.68,-0.08,0.06,-0.02,
1:56:19,-0.01,7.19,6.86,-0.11,0.03,-0.02,
1:56:20,0.22,7.19,6.97,-0.08,0.04,-0.05,
1:56:21,0.02,7.02,7.08,-0.09,0.01,0,
1:56:22,0.1,7.01,7.12,-0.12,0.08,-0.01,
1:56:23,0.35,7.22,6.99,-0.05,-0.01,-0.05,
1:56:24,0.16,7.21,6.91,-0.07,0.02,-0.02,
1:56:25,0.19,7.26,6.95,-0.09,-0.03,-0.03,
1:56:26,0.42,7.01,7.19,-0.11,0.06,-0.03,
1:56:27,0.36,7.05,7.18,-0.08,0.03,-0.03,
1:56:28,0.16,6.91,7.18,-0.09,0.06,-0.01,
1:56:29,0.23,6.85,7.29,-0.07,0.02,-0.02,
1:56:30,0.13,6.69,7.37,-0.07,0.01,-0.02,
1:56:31,0.06,6.69,7.38,-0.1,0.07,-0.01,
1:56:32,-0.06,6.85,7.2,-0.13,0.08,0.01,
1:56:33,0.1,7.05,7.3,-0.1,0.05,-0.02,
1:56:34,0.47,7.05,6.98,-0.08,0.1,-0.03,
1:56:35,0.1,6.96,7.31,-0.07,0.02,-0.03,
1:56:36,0.17,6.96,7.13,-0.02,-0.05,-0.05,
1:56:37,0.17,7.07,7.12,-0.04,-0.04,-0.02,
1:56:38,0.11,6.8,7.4,-0.1,0.03,-0.01,
1:56:39,0.3,6.84,7.5,-0.06,0,-0.02,
1:56:40,-0.15,6.9,7.35,-0.1,0.03,-0.01,
1:56:41,0.15,6.82,7.41,-0.12,0.05,-0.01,
1:56:42,-0.08,6.88,7.17,-0.12,0.09,0.01,
1:56:43,0.14,6.9,7.27,-0.1,0.04,-0.01,
1:56:44,0.11,7.01,7.23,-0.06,0.05,-0.05,
1:56:45,0.23,6.89,7.28,-0.11,0.07,0,
1:56:46,0.11,7.01,7.38,-0.11,0.03,-0.05,
1:56:47,-0.02,6.82,7.36,0,-0.02,-0.04,
1:56:48,0.03,6.85,7.22,-0.07,0.04,-0.03,
1:56:49,-0.06,6.8,7.28,-0.05,0.02,-0.04,
1:56:50,0.03,6.82,7.34,-0.08,0.02,-0.01,
1:56:51,-0.03,6.7,7.01,0.03,-0.02,-0.04,
1:56:52,0.01,6.37,7.64,-0.12,0.06,0.02,
1:56:53,0.25,6.56,7.66,-0.08,0.01,0,
1:56:54,0.25,6.95,7.09,-0.03,0.04,-0.07,
1:56:55,0.48,7.32,6.9,-0.06,0,-0.03,
1:56:56,0.08,6.97,7.39,-0.09,-0.09,-0.05,
1:56:57,-0.05,6.76,7.47,0.05,-0.09,-0.04,
1:56:58,-0.02,6.79,7.49,-0.07,0.05,-0.03,
1:56:59,0,6.66,7.46,-0.07,0.02,-0.01,
1:57:00,-0.12,6.7,7.48,0.01,-0.04,-0.07,
1:57:01,-0.01,6.82,7.11,-0.13,0.06,0.01,
1:57:02,0.21,6.92,7.12,-0.13,0.06,-0.01,
1:57:03,0.08,6.81,7.3,-0.08,0.03,-0.03,
1:57:04,-0.01,6.84,7.29,-0.11,0.04,-0.02,
1:57:05,-0.01,7.02,7.19,-0.09,0.03,-0.01,
1:57:06,0.04,7.06,7.24,-0.04,0,-0.04,
1:57:07,0.32,7.02,6.94,-0.11,0.04,-0.01,
1:57:08,-0.28,6.77,7.26,-0.09,0.04,0,
1:57:09,0.11,6.92,7.21,-0.06,0.04,-0.04,
1:57:10,0,6.77,7.42,-0.09,0.05,-0.03,
1:57:11,0.08,6.65,7.5,-0.09,0.01,-0.01,
1:57:12,0.03,6.75,7.26,-0.06,0.05,-0.01,
1:57:13,-0.02,6.85,7.36,-0.11,0.03,-0.02,
1:57:14,-0.1,6.7,7.53,-0.11,0.06,-0.01,
1:57:15,0.16,6.87,7.21,-0.05,0.06,-0.05,
1:57:16,-0.05,6.73,7.18,-0.03,0.02,-0.11,
1:57:17,-0.13,6.71,7.46,-0.06,0.02,-0.02,
1:57:18,-0.01,6.73,7.42,-0.08,0.01,-0.01,
1:57:19,-0.06,6.68,7.33,-0.07,0.01,0,
1:57:20,0.16,6.84,7.35,-0.07,0,-0.05,
1:57:21,-0.02,6.64,7.46,-0.07,0.04,-0.04,
1:57:22,-0.01,6.64,7.43,-0.08,0.03,-0.03,
1:57:23,-0.07,6.64,7.46,-0.07,0.02,-0.02,
1:57:24,0.19,7.09,7.41,-0.07,0.03,-0.02,
1:57:25,-0.02,6.83,7.37,-0.1,0.02,0,
1:57:26,-0.14,6.71,7.27,-0.04,-0.01,-0.07,
1:57:27,-0.05,6.78,7.41,-0.1,0.07,-0.03,
1:57:28,0.13,6.61,7.58,-0.09,0.03,-0.01,
1:57:29,0.12,6.57,7.47,-0.09,0.07,0.01,
1:57:30,-0.17,6.52,7.58,-0.2,0.13,-0.02,
1:57:31,-0.32,6.44,7.67,-0.06,0.03,-0.06,
1:57:32,-0.14,6.45,7.55,-0.07,0.03,-0.02,
1:57:33,-0.08,6.63,7.6,-0.08,0.02,-0.02,
1:57:34,-0.08,6.56,7.54,-0.08,0.04,-0.01,
1:57:35,-0.04,6.72,7.37,-0.09,0.05,-0.02,
1:57:36,-0.19,6.61,7.52,-0.08,0.03,-0.02,
1:57:37,-0.3,6.5,7.58,-0.11,0.05,0.01,
1:57:38,0.06,6.71,7.44,-0.1,0.06,-0.03,
1:57:39,-0.22,6.65,7.44,-0.06,0.05,-0.03,
1:57:40,0.18,6.77,7.39,-0.09,-0.11,-0.04,
1:57:41,0.11,6.57,7.55,-0.05,0.02,-0.04,
1:57:42,0.09,6.69,7.48,-0.08,0.05,-0.04,
1:57:43,0,6.69,7.6,-0.08,0.06,-0.04,
1:57:44,-0.09,6.34,7.69,-0.07,0.1,-0.02,
1:57:45,0.2,6.73,7.46,-0.06,0.04,0,
1:57:46,-0.32,6.54,7.52,0,-0.01,-0.05,
1:57:47,-0.05,6.75,7.34,-0.06,0.03,-0.03,
1:57:48,-0.11,6.62,7.36,-0.09,0.02,0.01,
1:57:49,0.01,6.68,7.43,0.05,0,-0.04,
1:57:50,-0.32,6.82,7.21,-0.1,0.05,0,
1:57:51,-0.04,6.78,7.3,-0.08,0.05,-0.02,
1:57:52,-0.38,6.71,7.37,-0.08,0.02,-0.03,
1:57:53,0.08,6.77,7.45,-0.05,0.02,-0.02,
1:57:54,0.09,6.82,7.32,-0.11,0.07,0,
1:57:55,0,6.77,7.28,-0.08,0.02,0.01,
1:57:56,-0.13,6.81,7.54,-0.08,0.03,-0.02,
1:57:57,0.22,6.77,7.41,-0.07,0,-0.03,
1:57:58,0.05,6.77,7.38,-0.09,0.04,-0.02,
1:57:59,-0.05,6.73,7.49,-0.09,0.11,-0.02,
1:58:00,0.22,6.79,7.24,-0.11,0.09,0.03,
1:58:01,0.09,6.5,7.57,-0.07,0.05,-0.06,
1:58:02,0.17,6.68,7.61,-0.1,0.09,0,
1:58:03,0.38,6.82,7.41,-0.06,0.01,-0.07,
1:58:04,-0.01,6.64,7.59,-0.08,0.03,-0.01,
1:58:05,-0.21,6.46,7.7,-0.03,-0.02,-0.05,
1:58:06,0.16,6.47,7.83,-0.1,0.04,-0.02,
1:58:07,0.24,6.36,7.66,-0.09,0.01,0,
1:58:08,0.06,6.46,7.79,-0.07,0.04,-0.04,
1:58:09,0.24,6.71,7.63,-0.11,0.03,-0.07,
1:58:10,0.06,6.8,7.18,-0.07,0.05,-0.03,
1:58:11,0.22,6.77,7.45,-0.14,0.11,0.03,
1:58:12,0.4,6.7,7.41,-0.06,0.03,-0.03,
1:58:13,-0.04,6.78,7.35,-0.04,0.04,-0.05,
1:58:14,0.18,6.89,7.24,-0.06,0.01,0.01,
1:58:15,0.22,6.89,7.54,-0.01,0.05,-0.03,
1:58:16,-0.19,6.75,7.39,-0.08,0.06,-0.02,
1:58:17,-0.01,6.79,7.39,-0.06,0.02,-0.03,
1:58:18,0.09,6.68,7.36,-0.05,0.04,-0.07,
1:58:19,-0.11,6.67,7.38,-0.11,0.05,0.01,
1:58:20,-0.16,6.62,7.52,-0.12,0.09,0.02,
1:58:21,-0.07,6.73,7.47,-0.13,0.08,0.01,
1:58:22,-0.1,6.9,7.3,0,-0.05,-0.07,
1:58:23,0.03,6.85,7.26,-0.08,0.03,-0.02,
1:58:24,0.05,6.8,7.39,-0.07,0.06,0,
1:58:25,-0.26,6.74,7.42,-0.1,0.04,0,
1:58:26,-0.13,6.72,7.39,-0.06,0.01,-0.04,
1:58:27,-0.01,6.65,7.38,-0.14,-0.01,0.02,
1:58:28,-0.19,6.71,7.44,-0.07,0.05,0.02,
1:58:29,0.32,6.92,7.2,-0.06,0.01,-0.05,
1:58:30,0.16,6.7,7.45,-0.11,0.08,0,
1:58:31,0.07,6.78,7.33,-0.03,0.03,-0.11,
1:58:32,0.01,6.83,7.49,-0.13,0.03,-0.03,
1:58:33,-0.04,6.69,7.45,-0.04,0.03,-0.02,
1:58:34,-0.07,6.92,7.41,-0.07,0.07,-0.02,
1:58:35,0.01,6.85,7.39,-0.06,0.02,-0.01,
1:58:36,-0.18,6.71,7.52,-0.09,0.03,-0.01,
